Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año]
FLANDES PARTE 2,Solar,13.93,TOLIMA,FLANDES,73,73275,2023-01-16T00:00:00.000,66864,11595,52237500000,97,19524
DULIMA PARTE 2,Solar,13.93,TOLIMA,FLANDES,73,73275,2023-01-16T00:00:00.000,66864,11595,52237500000,97,19524
"PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19,9) PARTE 2",Solar,21.89,VALLE DEL CAUCA,ZARZAL,76,76895,2023-04-25T00:00:00.000,105072,18221,82087500000,152,30681
DULIMA PARTE 2,Solar,13.93,TOLIMA,FLANDES,73,73275,2023-01-16T00:00:00.000,66864,11595,52237500000,97,19524
DULIMA PARTE 1,Solar,5.97,TOLIMA,FLANDES,73,73275,2022-07-31T00:00:00.000,28656,4969,22387500000,42,8368
"PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19,9) PARTE 2",Solar,21.89,VALLE DEL CAUCA,ZARZAL,76,76895,2023-04-25T00:00:00.000,105072,18221,82087500000,152,30681
"PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19,9) PARTE 1",Solar,17.91,VALLE DEL CAUCA,ZARZAL,76,76895,2022-07-31T00:00:00.000,85968,14908,67162500000,125,25103
SAN ISIDRO,Solar,19.09,CAUCA,PUERTO TEJADA,19,19573,2023-07-31T00:00:00.000,91632,15890,71587500000,133,26757
RUBIALES,Solar,87,META,PUERTO GAITÁN,50,50568,2023-11-30T00:00:00.000,417600,72416,326250000000,606,121939
CHICAMOCHA (1-3),Solar,59.7,SANTANDER,LOS SANTOS,68,68418,2023-06-30T00:00:00.000,286560,49692,223875000000,416,83676
PUERTA DE ORO Fase 1,Solar,120,CUNDINAMARCA,GUADUAS,25,25320,2021-12-31T00:00:00.000,576000,99884,450000000000,835,168192
GUAYEPO FASE I,Solar,200,ATLÁNTICO,SABANALARGA,08,08638,2023-05-31T00:00:00.000,960000,166474,750000000000,1392,280320
CORONA GIRARDOTA,Solar,3.69,ANTIOQUIA,GIRARDOTA,05,05308,2023-01-29T00:00:00.000,17712,3071,13837500000,26,5172
CETESA SUESCA,Solar,4.22,CUNDINAMARCA,SUESCA,25,25772,2023-01-29T00:00:00.000,20256,3513,15825000000,29,5915
CORONA SOPO,Solar,4,CUNDINAMARCA,SOPÓ,25,25758,2023-01-29T00:00:00.000,19200,3329,15000000000,28,5606
